entity	mean	moe
<dbpedia:Toledo,_Ohio>	0.7283456993082362	0.004171568088625674
<dbpedia:Toyota_Tundra>	0.7695541178428331	0.004109668499774442
<dbpedia:Tribe_of_Judah>	0.7426819910621418	0.034892411596413854
<dbpedia:United_States_and_the_United_Nations>	0.7975708502024291	0.0
<dbpedia:Ursula_Andress>	0.7126433138310393	0.01202510693699007
<dbpedia:Virgin_Radio_Italia>	0.7347299489852839	0.015973812345567856
<dbpedia:Wales>	0.7955847528836605	0.0027394011794648707
<dbpedia:YMCA>	0.7519903015287932	0.02562369830919828
<dbpedia:Yahoo!_Mail>	0.7765182186234817	0.027508266449684973
<dbpedia:Yaza_Ne_Win>	0.7242770563955108	0.019586734592130027
<dbpedia:Yomiuri_Giants>	0.7105830197212906	0.008359154174644378
